拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/05,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2012.05,1997,汽油,黑,2WD,5,B,C,148401 KM,保證,131000,0,0,0
2025/11/05,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2014.07,1997,汽油,白,2WD,5,C,B,131692 KM,保證,140000,0,0,0
2025/11/14,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2014.01,1997,汽油,白,2WD,5,B,C,9999999 KM,不保證,91000,11230,6180,5000
2025/11/19,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2014.06,1997,汽油,白,2WD,5,B,C,283100 KM,不保證,123000,13702,6180,82500
2025/11/19,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2013.09,1997,汽油,白,2WD,5,B,B,188799 KM,保證,162000,0,0,0
2025/11/19,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2016.05,1997,汽油,黑,2WD,5,A,B,43013 KM,保證,310000,0,0,0
2025/11/26,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2016.06,1997,汽油,白,2WD,5,B,C,9999999 KM,不保證,120000,0,6180,8100
2025/12/10,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2016.12,1997,汽油,銀,2WD,5,B,B,231190 KM,保證,195000,0,0,0
2025/12/12,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2013.01,1997,汽油,白,2WD,5,A,B,182947 KM,保證,164000,0,0,0
2025/12/17,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2016.07,1997,汽油,銀,2WD,5,D,C,9999999 KM,不保證,70000,11230,0,0
2026/01/09,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2011.07,1997,汽油,黑,2WD,5,C,C,190900 KM,保證,65000,0,0,0
2026/01/16,詳見網頁版,HONDA CR-V,CR-V2.0VTI,旅行式,自,2012.05,1997,汽油,深灰,2WD,5,B,B,145948 KM,保證,125000,0,0,0
2026/01/16,詳見網頁版,HONDA CR-V,CR-V2.OVTI-S,旅行式,手自,2011.10,1997,汽油,白,2WD,5,A,C,147233 KM,保證,110000,0,0,0
2026/01/21,詳見網頁版,HONDA CR-V,CR-V 2.0VTI,旅行式,自,2013.03,1997,汽油,深灰,2WD,5,A,B,129068 KM,保證,197000,0,0,0
2026/01/21,詳見網頁版,HONDA CR-V,CR-V 2.0 VTI,旅行式,自,2013.11,1997,汽油,白,2WD,5,A,B,129272 KM,保證,212000,0,0,0
2026/01/28,詳見網頁版,HONDA CR-V,CR-V2.OVTI-S,旅行式,自,2011.03,1997,汽油,深灰,2WD,5,B,B,70921 KM,保證,116000,0,0,0
