拍賣日期,查看資料,廠牌 車型,監理型式,式樣,排檔,出廠年月,排氣量,燃油,顏色,傳動 方式,車門,車體 評價,內裝 評價,里程,里程 保證,成交價,牌照稅,燃料費,違規
2025/11/19,詳見網頁版,BMW 335I,335I COUPE,轎式HID頭燈,手自,2008.01,2979,汽油,灰,2WD,2,B,C,147043 KM,保證,102000,0,0,0
2025/11/21,詳見網頁版,BMW 335I,335ICONVERTIBLE,轎式硬頂敞篷式HID頭燈,手自,2010.03,2979,汽油,白,2WD,2,A,B,999999 KM,不保證,283000,0,7200,1000
2026/01/14,詳見網頁版,BMW 335,335I,敞篷式轎式HID頭燈,手自,2008.09,2979,汽油,白,2WD,2,C,B,176014 KM,保證,132000,0,0,0
2026/01/28,詳見網頁版,BMW 335I,335I COUPE,轎式HID頭燈,手自,2008.01,2979,汽油,白,2WD,2,B,C,9999999 KM,不保證,40000,0,3080,0
2026/01/28,詳見網頁版,BMW 335I,335I COUPE,轎式HID頭燈,手自,2011.08,2979,汽油,白,2WD,2,B,B,163224 KM,保證,156000,0,0,0
